pkg	file	key	en	cls	include	flags
FULLMap	GameStrings	Abil/Name/AbathurDeepTunnel4	Deep Tunnel	name	1	
FULLMap	GameStrings	Abil/Name/BanelingBarrage	Baneling Barrage	name	1	
FULLMap	GameStrings	Abil/Name/BroodLordHangar2	Brood Lord Hangar T2	name	1	
FULLMap	GameStrings	Abil/Name/BroodLordHangar22	Brood Lord Hangar T2 (Old)	name	1	
FULLMap	GameStrings	Abil/Name/BroodLordHangar3	Brood Lord Hangar Explodelings	name	1	
FULLMap	GameStrings	Abil/Name/BroodLordSiege	Brood Lord Siege	name	1	
FULLMap	GameStrings	Abil/Name/BroodLordSiege2	Brood Lord Siege	name	1	
FULLMap	GameStrings	Abil/Name/BroodLordSiege22	Brood Lord Unsiege	name	1	
FULLMap	GameStrings	Abil/Name/CloakFire	Cloaking Maneuver	name	1	
FULLMap	GameStrings	Abil/Name/GasCloud	Maneuver	name	1	
FULLMap	GameStrings	Abil/Name/MantaRaySiegeMorphtoMantaRay	MantaRaySiegeMorphtoMantaRay	name	1	
FULLMap	GameStrings	Abil/Name/MorphToMantaRaySiege	MantaRayMorphtoMantaRaySiege	name	1	
FULLMap	GameStrings	Abil/Name/MorphToXenowraith	Morph To Xenowraith	name	1	
FULLMap	GameStrings	Abil/Name/SpawnXenoray	Spawn Xenoray	name	1	
FULLMap	GameStrings	Abil/Name/SpinAttack	Spin Attack	name	1	
FULLMap	GameStrings	Abil/Name/StopFakeMove	Stop (Fake Move)	name	1	
FULLMap	GameStrings	Abil/Name/SuicideMonstrosity2	Suicide Monstrosity II	name	1	
FULLMap	GameStrings	Abil/Name/TrainBroodling	Train Broodling	name	1	
FULLMap	GameStrings	Attribute001/Name	Opt in	name	1	
FULLMap	GameStrings	Attribute001/Value001/Desc	You will get a second chance to opt in during the intro. [Not recommanded for new players]	visible-other	1	
FULLMap	GameStrings	Attribute001/Value001/Name	Human	visible-other	1	
FULLMap	GameStrings	Attribute001/Value002/Desc	Opt in for zombies, requires playing at least 5 games	visible-other	1	
FULLMap	GameStrings	Attribute001/Value002/Name	Zombie	visible-other	1	
FULLMap	GameStrings	Attribute002/Desc	Currently only Abyssal Depths is available (perhaps there will be more in the future??)	tip	1	
FULLMap	GameStrings	Attribute002/Name	Map	name	1	
FULLMap	GameStrings	Attribute002/Value001/Name	Abyssal Depths	visible-other	1	
FULLMap	GameStrings	Attribute002/Value002/Desc	Coming Soon	visible-other	1	
FULLMap	GameStrings	Attribute002/Value002/Name	???	visible-other	1	punct-only,no-letters
FULLMap	GameStrings	Attribute003/Name	Difficulty	name	1	
FULLMap	GameStrings	Attribute003/Value001/Desc	When using custom difficulty settings, player ranks will not be affected	visible-other	1	
FULLMap	GameStrings	Attribute003/Value001/Name	Extreme Human Advantage	visible-other	1	
FULLMap	GameStrings	Attribute003/Value002/Desc	When using custom difficulty settings, player ranks will not be affected	visible-other	1	
FULLMap	GameStrings	Attribute003/Value002/Name	Major Human Advantage	visible-other	1	
FULLMap	GameStrings	Attribute003/Value003/Desc	When using custom difficulty settings, player ranks will not be affected	visible-other	1	
FULLMap	GameStrings	Attribute003/Value003/Name	Human Advantage	visible-other	1	
FULLMap	GameStrings	Attribute003/Value004/Desc	When using custom difficulty settings, player ranks will not be affected	visible-other	1	
FULLMap	GameStrings	Attribute003/Value004/Name	Minor Human Advantage	visible-other	1	
FULLMap	GameStrings	Attribute003/Value005/Desc	When using custom difficulty settings, player ranks will not be affected	visible-other	1	
FULLMap	GameStrings	Attribute003/Value005/Name	No Advantage	visible-other	1	
FULLMap	GameStrings	Attribute003/Value006/Desc	When using custom difficulty settings, player ranks will not be affected	visible-other	1	
FULLMap	GameStrings	Attribute003/Value006/Name	Minor Zombie Advantage	visible-other	1	
FULLMap	GameStrings	Attribute003/Value007/Desc	When using custom difficulty settings, player ranks will not be affected	visible-other	1	
FULLMap	GameStrings	Attribute003/Value007/Name	Zombie Advantage	visible-other	1	
FULLMap	GameStrings	Attribute003/Value008/Desc	When using custom difficulty settings, player ranks will not be affected	visible-other	1	
FULLMap	GameStrings	Attribute003/Value008/Name	Major Zombie Advantage	visible-other	1	
FULLMap	GameStrings	Attribute003/Value009/Desc	When using custom difficulty settings, player ranks will not be affected	visible-other	1	
FULLMap	GameStrings	Attribute003/Value009/Name	Extreme Zombie Advantage	visible-other	1	
FULLMap	GameStrings	Attribute003/Value010/Desc	Difficulty is automatically determined by player ranks (recommended)	visible-other	1	
FULLMap	GameStrings	Attribute003/Value010/Name	Automatic	visible-other	1	
FULLMap	GameStrings	Attribute004/Name	Host Chooses Zombie	name	1	
FULLMap	GameStrings	Attribute004/Value001/Name	Disabled	visible-other	1	
FULLMap	GameStrings	Attribute004/Value002/Name	Enabled	visible-other	1	
FULLMap	GameStrings	Attribute005/Name	Experimental Mode	name	1	
FULLMap	GameStrings	Attribute005/Value001/Name	Disabled	visible-other	1	
FULLMap	GameStrings	Attribute005/Value002/Name	Enabled	visible-other	1	
FULLMap	GameStrings	Behavior/Name/AlphaZombieTurningtoBurrow	Alpha Zombie Turning to Burrow	name	1	
FULLMap	GameStrings	Behavior/Name/AttackRangeIncrease	Attack Range Increase	name	1	
FULLMap	GameStrings	Behavior/Name/AttackRangeIncrease2	Increase Height Instantly	name	1	
FULLMap	GameStrings	Behavior/Name/BroodlingDisruptHeal	Broodling Target Disrupt Heal	name	1	
FULLMap	GameStrings	Behavior/Name/BroodlingDisruptHeal2	Broodling Increase Move Speed	name	1	
FULLMap	GameStrings	Behavior/Name/BroodlingImpactTintUnnamed	BroodlingImpactTint (Unnamed)	name	1	
FULLMap	GameStrings	Behavior/Name/CanAttack	Can Attack	name	1	
FULLMap	GameStrings	Behavior/Name/DisableMovement	Disable Movement and Abilities	name	1	
FULLMap	GameStrings	Behavior/Name/DisableMovement2	Disable Attack	name	1	
FULLMap	GameStrings	Behavior/Name/DisableMovement3	Disable Movement	name	1	
FULLMap	GameStrings	Behavior/Name/DisableMovement32	Lock Pruchaseable Equipment	name	1	
FULLMap	GameStrings	Behavior/Name/EmergencyDeathPrevent	Emergency Death Prevent	name	1	
FULLMap	GameStrings	Behavior/Name/Flee	Flee	name	1	
FULLMap	GameStrings	Behavior/Name/GasCloudCasterBuff	Gas Cloud Caster Buff	name	1	
FULLMap	GameStrings	Behavior/Name/GasCloudTemporary	Gas Cloud Temporary	name	1	
FULLMap	GameStrings	Behavior/Name/IncreasingSpeed	Increasing Speed	name	1	
FULLMap	GameStrings	Behavior/Name/InhibitorZoneTemporalField	Tar Pit	name	1	
FULLMap	GameStrings	Behavior/Name/OutofCombat	Homeostasis	name	1	
FULLMap	GameStrings	Behavior/Name/RollAttackBaseline	Roll Attack Baseline	name	1	
FULLMap	GameStrings	Behavior/Name/Shanked	Shanked	name	1	
FULLMap	GameStrings	Behavior/Name/TarPit	Tar Pit	name	1	
FULLMap	GameStrings	Behavior/Name/TrackedEscort	Tracked Escort	name	1	
FULLMap	GameStrings	Behavior/Tooltip/OutofCombat	Zombie is rapidly recovering energy	tip	1	
FULLMap	GameStrings	Behavior/Tooltip/TarPit	"This unit's movement speed is reduced by <d ref=""1-Behavior,TarPit,Modification.MoveSpeedMultiplier*100""/>%."	tip	1	
FULLMap	GameStrings	Button/Name/CloakFire	Cloaking Maneuver	name	1	
FULLMap	GameStrings	Button/Name/MantaRaySiege	Broodling Siege	name	1	
FULLMap	GameStrings	Button/Name/MantaRaySiege2	Cancel	name	1	
FULLMap	GameStrings	Button/Name/MorphtoAbomination2	Morph to Dreamhacker	name	1	
FULLMap	GameStrings	Button/Name/NoxiousCloud2	Maneuver	name	1	
FULLMap	GameStrings	Button/Name/Siege	Siege	name	1	
FULLMap	GameStrings	Button/Name/Siege2	Unsiege	name	1	
FULLMap	GameStrings	Button/Name/SpawnAberration22	Spawn Aberration	name	1	
FULLMap	GameStrings	Button/Name/SpawnBroodlings2	Spawn Stablings	name	1	
FULLMap	GameStrings	Button/Name/SpawnBroodlings22	Spawn Stablings (Tired)	name	1	
FULLMap	GameStrings	Button/Name/SpawnOverseer2	Spawn Dreamcatcher	name	1	
FULLMap	GameStrings	Button/Name/SpawnVirophageAlpha	Spawn Virophage - Kappa	name	1	
FULLMap	GameStrings	Button/Name/SpawnVirophageBeta	Spawn Virophage - Sigma	name	1	
FULLMap	GameStrings	Button/Name/SpawnVirophageDelta	Spawn Virophage - Zeta	name	1	
FULLMap	GameStrings	Button/Name/homeostasis	Homeostasis	name	1	
FULLMap	GameStrings	Button/Tooltip/Broodling2	"Fast melee creature that will last for a short duration.<n/><n/><c val=""ffff8a"">Can attack ground units.</c>"	tip	1	
FULLMap	GameStrings	Button/Tooltip/CloakFire	Increases movement speed and cloaks briefly.	tip	1	
FULLMap	GameStrings	Button/Tooltip/CreepAffinity4	Regenerates life and energy faster on creep.	tip	1	
FULLMap	GameStrings	Button/Tooltip/MantaRaySiege2	Cancels siege.	tip	1	
FULLMap	GameStrings	Button/Tooltip/MorphtoAbomination2	"Evolve to cloak leeches and spawn them faster.<n/><c val=""FFFF00"">Note: uses 16 additional supply, zombies will automatically be suicided if supply is not available</c>"	tip	1	
FULLMap	GameStrings	Button/Tooltip/NoxiousCloud2	Increases movement speed briefly.	tip	1	
FULLMap	GameStrings	Button/Tooltip/Siege	Elevates into Siege Mode. In this mode, the alpha has greatly increased attack range but cannot move or attack targets at close range.	tip	1	
FULLMap	GameStrings	Button/Tooltip/SpawnAberration22	"Has devastating melee attacks and a hardy, regenerating carapace. Can evolve into an Abomination.<n/><c val=""FFFF00"">Note: uses 16 supply, zombies will automatically be suicided if supply is not available</c>"	tip	1	
FULLMap	GameStrings	Button/Tooltip/SpawnBroodlings2	"Creates flying stablings.<n/><n/><c val=""FFFF00"">Stablings slow the attack and movement speed of their targets while simultaneously leeching life off of them.</c>"	tip	1	
