uid	en	n_keys	pkgs	cls	flags
u00001		70	FULLMap|MapMod|SemiceMod	unknown	empty-value,punct-only
u00002	 seconds.	43	FULLMap|MapMod|SemiceMod	trigger-text	
u00003	Already equipped	41	SemiceMod	tip	
u00004	Already Equipped	28	SemiceMod	tip	
u00005	 	26	FULLMap|MapMod	trigger-text	empty-value,punct-only
u00006	Each broodling dispatched from the Cerberus brood lord can be controlled individually by a commander safe at a computer console, far away from the actual battle.	26	SemiceMod	tip	
u00007	Awarded 	23	FULLMap|MapMod|SemiceMod	trigger-text	
u00008	Completed biomass recovery.	20	FULLMap|MapMod|SemiceMod	trigger-text	
u00009	Error	18	FULLMap|MapMod	trigger-text	
u00010	Weapons Locker	18	FULLMap|MapMod|SemiceMod	name	
u00011	When using custom difficulty settings, player ranks will not be affected	18	FULLMap|MapMod	visible-other	
u00012	Sub Level Lift	17	SemiceMod	name	
u00013	 refinery.	16	FULLMap|MapMod	trigger-text	
u00014	Sub Level Lift Bug Fix	16	SemiceMod	name	
u00015	WARNING: An Extractor is forming in the 	16	FULLMap|MapMod	trigger-text	
u00016	Weapons Locker DOM	16	SemiceMod	name	
u00017	 bonus vespene for achieving new infestation level.	15	FULLMap|MapMod|SemiceMod	trigger-text	
u00018	Cannot locate infested areas (Security Mainframe compromised)	15	FULLMap|MapMod|SemiceMod	trigger-text	
u00019	NovaAcidPuddleSearchImpactAB	15	SemiceMod	name	
u00020	Adhesive Acid	14	SemiceMod	name	
u00021	Recovering biomass of 	14	FULLMap|MapMod|SemiceMod	trigger-text	
u00022	 seconds!	12	FULLMap|MapMod|SemiceMod	trigger-text	
u00023	A mutation within an existing strain has been detected.	12	FULLMap|MapMod|SemiceMod	trigger-text	
u00024	Player	12	FULLMap|MapMod|SemiceMod	trigger-text	
u00025	Strain Supply: 	12	FULLMap|MapMod	trigger-text	
u00026	The 	12	FULLMap|MapMod	trigger-text	
u00027	This unit's movement speed is reduced and it is continually taking damage.	12	SemiceMod	tip	
u00028	 has destroyed a massive cocoon! Preventing the Alpha Zombie from spawning!	11	FULLMap|MapMod|SemiceMod	trigger-text	
u00029	!	10	FULLMap|MapMod	trigger-text	no-letters,punct-only
u00030	Maneuver	10	FULLMap|MapMod	name	
