uid	en	zh	status	model	flags
u00206	Mend Copy	治疗复制	ok	deepseek-flash	
u00207	Monsters have been released into the sub-level.	怪物已被释放到地下层。	ok	deepseek-flash	
u00208	Nothing can burrow past the inner hangar gates...	没有任何东西能钻过内部机库闸门……	ok	deepseek-flash	
u00209	Ocular Parasite	眼寄生虫	ok	deepseek-flash	
u00210	Only 	仅 	ok	deepseek-flash	
u00211	Optical Visor Equipped	已装备光学护目镜	ok	deepseek-flash	
u00212	Overseer	督军	ok	deepseek-flash	
u00213	Pings	标记	ok	deepseek-flash	
u00214	Poison (Apply Behavior)	毒素（施加行为）	ok	deepseek-flash	
u00215	Poisoned	中毒	ok	deepseek-flash	
u00216	Power Generator	发电机	ok	deepseek-flash	
u00217	Power Generator Failure	发电机故障	ok	deepseek-flash	
u00218	Power Generators: 	发电机： 	ok	deepseek-flash	
u00219	Processors infested. Hive mind can now remotely lock gates.	处理器已被感染。虫巢意志现在可以远程锁定闸门。	ok	deepseek-flash	
u00220	Psi Disruptor Upgrade	幽能干扰器升级	ok	deepseek-flash	
u00221	Queen	女王	ok	deepseek-flash	
u00222	Recharge Drone	充能无人机	ok	deepseek-flash	
u00223	Reduced Movement Speed	移动速度降低	ok	deepseek-flash	
u00224	Salvage	回收	ok	deepseek-flash	
u00225	Score	分数	ok	deepseek-flash	
u00226	Scores	分数	ok	deepseek-flash	
u00227	Security Mainframe:	安全主控：	ok	deepseek-flash	
u00228	Shield Suit	护盾装甲	ok	deepseek-flash	
u00229	Shotgun	霰弹枪	ok	deepseek-flash	
u00230	Spawn Blood Zombies	生成血僵尸	ok	deepseek-flash	
u00231	Spawns per 5 seconds: 	每 5 秒生成： 	ok	deepseek-flash	
u00232	Specimen Containment Breach. 	标本收容失效。 	ok	deepseek-flash	
u00233	Stop (Fake Move)	停止（假移动）	ok	deepseek-flash	
u00234	Sub-Level	地下层	ok	deepseek-flash	
u00235	Subterranean Organism	地下生物	ok	deepseek-flash	
u00236	Suicide Monstrosity	自爆巨兽	ok	deepseek-flash	
u00237	Super Heal	超级治疗	ok	deepseek-flash	
u00238	Surrender	投降	ok	deepseek-flash	
u00239	Tar Pit	焦油坑	ok	deepseek-flash	
u00240	Terrazine Tank	地嗪储罐	ok	deepseek-flash	
u00135	Fuel Distribution Infested	燃料分配中心被感染	ok	deepseek-flash	
u00136	Games Played: 	对战场次：	ok	deepseek-flash	
u00137	Genesplicer	基因剪接者	ok	deepseek-flash	
u00138	Ghost Mercenary	幽灵雇佣兵	ok	deepseek-flash	
u00139	Hive Queen<n/>	虫巢女王<n/>	ok	deepseek-flash	
u00140	Impaled	被穿刺	ok	deepseek-flash	
u00141	Lurker DoT (Apply Behavior)	潜伏者持续伤害（施加行为）	ok	deepseek-flash	
u00142	Oculus	眼魔	ok	deepseek-flash	
u00143	Processing Facilities	处理设施	ok	deepseek-flash	
u00144	Queen MPEnsnare Apply	女王诱捕施加	ok	deepseek-flash	
u00145	Reinforce	增援	ok	deepseek-flash	
u00146	Rocket Launcher	火箭发射器	ok	deepseek-flash	
u00147	Security Mainframe	安全主控	ok	deepseek-flash	
